x,y,z,qw,qx,qy,qz
0.37164175,-0.32825126,0.24571384,0.50549479,-0.49920707,0.4956725,0.49957592
0.37164122,-0.32825511,0.24571476,0.50549632,-0.49920494,0.49567098,0.49957801
0.37164069,-0.32825894,0.24571569,0.50549785,-0.4992028,0.49566945,0.49958011
0.37164014,-0.32826277,0.24571662,0.5054994,-0.49920064,0.49566791,0.49958223
0.37163959,-0.32826658,0.24571757,0.50550096,-0.49919846,0.49566636,0.49958436
0.37163903,-0.32827038,0.24571851,0.50550253,-0.49919627,0.4956648,0.49958651
0.37163845,-0.32827417,0.24571947,0.50550411,-0.49919406,0.49566323,0.49958868
0.37163788,-0.32827795,0.24572043,0.5055057,-0.49919184,0.49566165,0.49959086
0.37163729,-0.32828171,0.2457214,0.5055073,-0.49918961,0.49566006,0.49959305
0.37163669,-0.32828545,0.24572237,0.50550891,-0.49918735,0.49565846,0.49959526
0.37163609,-0.32828918,0.24572336,0.50551053,-0.49918509,0.49565684,0.49959749
0.37163547,-0.3282929,0.24572435,0.50551216,-0.4991828,0.49565522,0.49959973
0.37163485,-0.32829659,0.24572534,0.5055138,-0.49918051,0.49565359,0.49960199
0.37163422,-0.32830027,0.24572634,0.50551545,-0.49917819,0.49565194,0.49960426
0.37163358,-0.32830393,0.24572735,0.50551711,-0.49917587,0.49565029,0.49960654
0.37163293,-0.32830757,0.24572837,0.50551878,-0.49917352,0.49564863,0.49960885
0.37163228,-0.32831119,0.24572939,0.50552046,-0.49917117,0.49564695,0.49961116
0.37163161,-0.32831479,0.24573042,0.50552215,-0.49916879,0.49564527,0.49961349
0.37163094,-0.32831837,0.24573145,0.50552385,-0.49916641,0.49564357,0.49961584
0.37163026,-0.32832193,0.2457325,0.50552556,-0.499164,0.49564187,0.4996182
0.37162957,-0.32832546,0.24573354,0.50552728,-0.49916159,0.49564015,0.49962058
0.37162887,-0.32832898,0.2457346,0.50552901,-0.49915915,0.49563843,0.49962297
0.37162816,-0.32833246,0.24573566,0.50553075,-0.49915671,0.49563669,0.49962537
0.37162745,-0.32833593,0.24573673,0.5055325,-0.49915425,0.49563495,0.49962779
0.37162672,-0.32833936,0.2457378,0.50553425,-0.49915177,0.49563319,0.49963023
0.37162599,-0.32834277,0.24573888,0.50553602,-0.49914928,0.49563143,0.49963268
0.37162525,-0.32834616,0.24573997,0.5055378,-0.49914678,0.49562966,0.49963514
0.3716245,-0.32834952,0.24574106,0.50553958,-0.49914426,0.49562787,0.49963762
0.37162374,-0.32835285,0.24574216,0.50554138,-0.49914172,0.49562608,0.49964011
0.37162298,-0.32835615,0.24574327,0.50554318,-0.49913918,0.49562428,0.49964262
0.3716222,-0.32835942,0.24574438,0.505545,-0.49913662,0.49562246,0.49964514
0.37162142,-0.32836266,0.2457455,0.50554682,-0.49913404,0.49562064,0.49964768
0.37162063,-0.32836587,0.24574663,0.50554865,-0.49913145,0.49561881,0.49965023
0.37161983,-0.32836905,0.24574776,0.5055505,-0.49912884,0.49561697,0.49965279
0.37161902,-0.32837219,0.24574889,0.50555235,-0.49912623,0.49561512,0.49965537
0.37161821,-0.32837531,0.24575004,0.50555421,-0.49912359,0.49561326,0.49965796
0.37161738,-0.32837839,0.24575119,0.50555607,-0.49912095,0.49561139,0.49966057
0.37161655,-0.32838143,0.24575234,0.50555795,-0.49911829,0.49560951,0.49966319
0.37161571,-0.32838444,0.2457535,0.50555984,-0.49911561,0.49560762,0.49966583
0.37161486,-0.32838742,0.24575467,0.50556173,-0.49911292,0.49560573,0.49966848
0.37161401,-0.32839036,0.24575585,0.50556364,-0.49911022,0.49560382,0.49967114
0.37161314,-0.32839326,0.24575703,0.50556555,-0.49910751,0.4956019,0.49967382
0.37161227,-0.32839612,0.24575821,0.50556747,-0.49910478,0.49559998,0.49967651
0.37161139,-0.32839895,0.2457594,0.5055694,-0.49910203,0.49559805,0.49967921
0.3716105,-0.32840174,0.2457606,0.50557134,-0.49909928,0.4955961,0.49968193
0.37160961,-0.32840449,0.2457618,0.50557329,-0.49909651,0.49559415,0.49968466
0.3716087,-0.3284072,0.24576301,0.50557525,-0.49909372,0.49559219,0.49968741
0.37160779,-0.32840986,0.24576423,0.50557721,-0.49909092,0.49559022,0.49969017
0.37160687,-0.32841249,0.24576545,0.50557919,-0.49908811,0.49558824,0.49969294
0.37160595,-0.32841507,0.24576668,0.50558117,-0.49908529,0.49558626,0.49969573
0.37160501,-0.32841762,0.24576791,0.50558316,-0.49908245,0.49558426,0.49969853
0.37160407,-0.32842011,0.24576915,0.50558516,-0.4990796,0.49558225,0.49970134
0.37160312,-0.32842257,0.24577039,0.50558716,-0.49907673,0.49558024,0.49970417
0.37160217,-0.32842498,0.24577164,0.50558918,-0.49907386,0.49557822,0.49970701
0.3716012,-0.32842734,0.2457729,0.5055912,-0.49907097,0.49557619,0.49970986
0.37160023,-0.32842966,0.24577416,0.50559323,-0.49906806,0.49557415,0.49971273
0.37159925,-0.32843193,0.24577543,0.50559527,-0.49906514,0.4955721,0.49971561
0.37159827,-0.32843416,0.2457767,0.50559732,-0.49906221,0.49557004,0.49971851
0.37159727,-0.32843633,0.24577798,0.50559938,-0.49905927,0.49556798,0.49972141
0.37159627,-0.32843846,0.24577926,0.50560144,-0.49905632,0.4955659,0.49972433
0.37159526,-0.32844054,0.24578055,0.50560351,-0.49905335,0.49556382,0.49972727
0.37159425,-0.32844257,0.24578185,0.50560559,-0.49905036,0.49556173,0.49973022
0.37159323,-0.32844454,0.24578315,0.50560768,-0.49904737,0.49555963,0.49973318
0.3715922,-0.32844647,0.24578446,0.50560978,-0.49904436,0.49555753,0.49973615
0.37159116,-0.32844835,0.24578577,0.50561188,-0.49904134,0.49555541,0.49973913
0.37159012,-0.32845017,0.24578709,0.50561399,-0.49903831,0.49555329,0.49974213
0.37158907,-0.32845194,0.24578841,0.50561611,-0.49903526,0.49555116,0.49974514
0.37158802,-0.32845365,0.24578974,0.50561824,-0.4990322,0.49554902,0.49974817
0.37158695,-0.32845532,0.24579107,0.50562037,-0.49902913,0.49554687,0.49975121
0.37158589,-0.32845692,0.24579241,0.50562251,-0.49902605,0.49554471,0.49975426
0.37158481,-0.32845847,0.24579375,0.50562466,-0.49902295,0.49554255,0.49975732
0.37158373,-0.32845997,0.2457951,0.50562682,-0.49901984,0.49554038,0.4997604
0.37158264,-0.32846141,0.24579646,0.50562898,-0.49901672,0.4955382,0.49976348
0.37158155,-0.32846279,0.24579781,0.50563116,-0.49901359,0.49553601,0.49976659
0.37158045,-0.32846411,0.24579918,0.50563333,-0.49901044,0.49553381,0.4997697
0.37157934,-0.32846537,0.24580055,0.50563552,-0.49900728,0.49553161,0.49977283
0.37157823,-0.32846658,0.24580193,0.50563772,-0.49900411,0.4955294,0.49977597
0.37157711,-0.32846772,0.24580331,0.50563992,-0.49900093,0.49552718,0.49977912
0.37157598,-0.3284688,0.24580469,0.50564213,-0.49899773,0.49552495,0.49978228
0.37157485,-0.32846982,0.24580608,0.50564434,-0.49899453,0.49552271,0.49978546
0.37157372,-0.32847079,0.24580748,0.50564656,-0.49899131,0.49552047,0.49978865
0.37157258,-0.32847168,0.24580888,0.50564879,-0.49898807,0.49551822,0.49979185
0.37157143,-0.32847252,0.24581028,0.50565103,-0.49898483,0.49551596,0.49979506
0.37157028,-0.32847329,0.2458117,0.50565328,-0.49898158,0.4955137,0.49979829
0.37156912,-0.32847399,0.24581311,0.50565553,-0.49897831,0.49551143,0.49980152
0.37156795,-0.32847463,0.24581453,0.50565779,-0.49897503,0.49550915,0.49980477
0.37156678,-0.32847521,0.24581596,0.50566005,-0.49897174,0.49550686,0.49980804
0.37156561,-0.32847572,0.24581739,0.50566232,-0.49896843,0.49550456,0.49981131
0.37156443,-0.32847616,0.24581882,0.5056646,-0.49896512,0.49550226,0.4998146
0.37156325,-0.32847654,0.24582026,0.50566689,-0.49896179,0.49549995,0.4998179
0.37156206,-0.32847684,0.24582171,0.50566918,-0.49895845,0.49549763,0.49982121
0.37156086,-0.32847708,0.24582316,0.50567148,-0.4989551,0.49549531,0.49982453
0.37155966,-0.32847725,0.24582461,0.50567378,-0.49895174,0.49549298,0.49982787
0.37155846,-0.32847735,0.24582607,0.5056761,-0.49894837,0.49549064,0.49983121
0.37155725,-0.32847738,0.24582754,0.50567842,-0.49894498,0.49548829,0.49983457
0.37155604,-0.32847733,0.24582901,0.50568074,-0.49894158,0.49548594,0.49983794
0.37155482,-0.32847722,0.24583048,0.50568308,-0.49893818,0.49548358,0.49984132
0.3715536,-0.32847703,0.24583196,0.50568541,-0.49893476,0.49548121,0.49984472
0.37155238,-0.32847677,0.24583344,0.50568776,-0.49893132,0.49547883,0.49984813
0.37155115,-0.32847643,0.24583493,0.50569011,-0.49892788,0.49547645,0.49985154
0.37154991,-0.32847603,0.24583642,0.50569247,-0.49892443,0.49547406,0.49985497
0.37154867,-0.32847554,0.24583792,0.50569483,-0.49892096,0.49547167,0.49985841
0.37154743,-0.32847498,0.24583942,0.50569721,-0.49891749,0.49546927,0.49986187
0.37154619,-0.32847435,0.24584093,0.50569958,-0.498914,0.49546686,0.49986533
0.37154494,-0.32847364,0.24584244,0.50570197,-0.4989105,0.49546444,0.49986881
0.37154369,-0.32847285,0.24584395,0.50570436,-0.49890699,0.49546202,0.49987229
0.37154243,-0.32847198,0.24584547,0.50570675,-0.49890347,0.49545959,0.49987579
0.37154117,-0.32847103,0.245847,0.50570916,-0.49889993,0.49545715,0.4998793
